Method,Dataset,Preference,Initialization,Beta Friend,Beta Enemy,Repetition,Adjusted Rand Index,Modularity,Seconds,Moves,Converged,Final Coalitions,Initial Adjusted Rand Index
LocStab,Karate Club,AE,S,0.4,0.4,1,0.5341007819287577,0.2929948839039748,0.0011197999701835215,40.0,1.0,4.0,0.0
LocStab,Karate Club,AE,P,0.4,0.4,1,0.727509778357236,0.30092202170124244,0.0009577000164426863,17.0,1.0,4.0,-0.01108213820078227
Louvain,Karate Club,-,-,,,2,0.46459109844332386,0.44490358126721763,0.006144899991340935,,,,
Leiden,Karate Club,-,-,,,2,0.39223854417890813,0.440181031090122,0.022506400011479855,,,,
LocStab,Karate Club,B,Ld,0.2,0.2,2,0.1328306907639428,0.28966848447367927,0.0010293999803252518,14.0,1.0,16.0,0.38182148855819326
LocStab,Karate Club,B,S,0.2,0.2,2,0.10592938041305797,0.24992035381645772,0.001005800033453852,15.0,1.0,19.0,0.0
LocStab,Karate Club,B,P,0.2,0.2,2,0.11721611721611722,0.25512078109480707,0.001025599951390177,26.0,1.0,19.0,0.05128205128205128
LocStab,Karate Club,AF,Ld,0.2,0.2,2,0.39223854417890813,0.440181031090122,0.0022439000313170254,0.0,1.0,4.0,1.0
LocStab,Karate Club,AF,S,0.2,0.2,2,0.12473643324825213,0.2844774273345702,0.0010238999966531992,18.0,1.0,17.0,0.0
LocStab,Karate Club,AF,P,0.2,0.2,2,0.4072289156626506,0.33060662281441505,0.0008628999930806458,14.0,1.0,8.0,0.1686746987951807
LocStab,Karate Club,AE,Ld,0.2,0.2,2,0.10256410256410256,0.26318847098067877,0.0007282999577000737,18.0,1.0,18.0,0.30170846964740095
LocStab,Karate Club,AE,S,0.2,0.2,2,0.07579462102689487,0.18624088753958884,0.0007944999961182475,13.0,1.0,21.0,0.0
LocStab,Karate Club,AE,P,0.2,0.2,2,0.10216546363131594,0.24550701823429097,0.0011614999966695905,27.0,1.0,20.0,0.03620210993892282
LocStab,Karate Club,B,Ld,0.25,0.35,2,0.1328306907639428,0.28966848447367927,0.0007307999767363071,14.0,1.0,16.0,0.38182148855819326
LocStab,Karate Club,B,S,0.25,0.35,2,0.10592938041305797,0.24992035381645772,0.0009659999632276595,15.0,1.0,19.0,0.0
LocStab,Karate Club,B,P,0.25,0.35,2,0.11721611721611722,0.25512078109480707,0.0007619999814778566,26.0,1.0,19.0,0.05128205128205128
LocStab,Karate Club,AF,Ld,0.25,0.35,2,0.39223854417890813,0.440181031090122,0.0008288999670185149,0.0,1.0,4.0,1.0
LocStab,Karate Club,AF,S,0.25,0.35,2,0.12473643324825213,0.2844774273345702,0.0007999000372365117,18.0,1.0,17.0,0.0
LocStab,Karate Club,AF,P,0.25,0.35,2,0.4072289156626506,0.33060662281441505,0.0006939999875612557,14.0,1.0,8.0,0.1686746987951807
LocStab,Karate Club,AE,Ld,0.25,0.35,2,0.10256410256410256,0.26318847098067877,0.000894600001629442,18.0,1.0,18.0,0.30170846964740095
LocStab,Karate Club,AE,S,0.25,0.35,2,0.07579462102689487,0.18624088753958884,0.0008476999937556684,13.0,1.0,21.0,0.0
LocStab,Karate Club,AE,P,0.25,0.35,2,0.10216546363131594,0.24550701823429097,0.0009727999567985535,27.0,1.0,20.0,0.03620210993892282
LocStab,Karate Club,B,Ld,0.4,0.4,2,0.727509778357236,0.30092202170124244,0.0006535999709740281,10.0,1.0,4.0,0.39684999790558373
LocStab,Karate Club,B,S,0.4,0.4,2,0.727509778357236,0.30092202170124244,0.0008663000189699233,36.0,1.0,4.0,0.0
LocStab,Karate Club,B,P,0.4,0.4,2,0.44844801389190364,0.25403384494293585,0.0007152999751269817,15.0,1.0,4.0,0.025830258302583026
LocStab,Karate Club,AF,Ld,0.4,0.4,2,0.727509778357236,0.30092202170124244,0.0007166999857872725,10.0,1.0,4.0,0.39684999790558373
LocStab,Karate Club,AF,S,0.4,0.4,2,0.237200259235256,0.03934521466988993,0.0009870000067166984,30.0,1.0,4.0,0.0
LocStab,Karate Club,AF,P,0.4,0.4,2,0.00042363905952128787,0.011665823354135041,0.0007180999964475632,15.0,1.0,3.0,0.014403728023723788
LocStab,Karate Club,AE,Ld,0.4,0.4,2,0.727509778357236,0.30092202170124244,0.0008251999970525503,10.0,1.0,4.0,0.39684999790558373
LocStab,Karate Club,AE,S,0.4,0.4,2,0.727509778357236,0.30092202170124244,0.0009510999661870301,30.0,1.0,4.0,0.0
LocStab,Karate Club,AE,P,0.4,0.4,2,0.44844801389190364,0.25403384494293585,0.0007067000260576606,15.0,1.0,4.0,0.025830258302583026
Louvain,Karate Club,-,-,,,3,0.39223854417890813,0.440181031090122,0.008765999984461814,,,,
Leiden,Karate Club,-,-,,,3,0.39223854417890813,0.440181031090122,0.013477600004989654,,,,
LocStab,Karate Club,B,Ld,0.2,0.2,3,0.1328306907639428,0.28966848447367927,0.0007239999831654131,14.0,1.0,16.0,0.38182148855819326
LocStab,Karate Club,B,S,0.2,0.2,3,0.08750694058856191,0.24377354247484118,0.0014460000093095005,18.0,1.0,19.0,0.0
LocStab,Karate Club,B,P,0.2,0.2,3,0.10296238766226562,0.27030040666404304,0.0007335999980568886,25.0,1.0,19.0,0.007766559414179518
LocStab,Karate Club,AF,Ld,0.2,0.2,3,0.39223854417890813,0.440181031090122,0.0006868000491522253,0.0,1.0,4.0,1.0
LocStab,Karate Club,AF,S,0.2,0.2,3,0.09523809523809523,0.26007758475290943,0.0008325999951921403,19.0,1.0,18.0,0.0
LocStab,Karate Club,AF,P,0.2,0.2,3,0.3146906933304032,0.36246509623133,0.0007284999592229724,21.0,1.0,10.0,-0.004395121415229096
LocStab,Karate Club,AE,Ld,0.2,0.2,3,0.10256410256410256,0.26318847098067877,0.001034500019159168,18.0,1.0,18.0,0.30170846964740095
LocStab,Karate Club,AE,S,0.2,0.2,3,0.06866666666666667,0.20467195142519817,0.0008173999958671629,17.0,1.0,20.0,0.0
LocStab,Karate Club,AE,P,0.2,0.2,3,0.09127248500999334,0.2625981522085418,0.0008152000373229384,27.0,1.0,19.0,-0.018654230512991338
LocStab,Karate Club,B,Ld,0.25,0.35,3,0.1328306907639428,0.28966848447367927,0.0006877999985590577,14.0,1.0,16.0,0.38182148855819326
LocStab,Karate Club,B,S,0.25,0.35,3,0.08750694058856191,0.24377354247484118,0.0007446000236086547,18.0,1.0,19.0,0.0
LocStab,Karate Club,B,P,0.25,0.35,3,0.10296238766226562,0.27030040666404304,0.0008128000190481544,25.0,1.0,19.0,0.007766559414179518
LocStab,Karate Club,AF,Ld,0.25,0.35,3,0.39223854417890813,0.440181031090122,0.0007017999887466431,0.0,1.0,4.0,1.0
LocStab,Karate Club,AF,S,0.25,0.35,3,0.09523809523809523,0.26007758475290943,0.0010956000187434256,19.0,1.0,18.0,0.0
LocStab,Karate Club,AF,P,0.25,0.35,3,0.3146906933304032,0.36246509623133,0.0007218999671749771,21.0,1.0,10.0,-0.004395121415229096
LocStab,Karate Club,AE,Ld,0.25,0.35,3,0.10256410256410256,0.26318847098067877,0.0008137999684549868,18.0,1.0,18.0,0.30170846964740095
LocStab,Karate Club,AE,S,0.25,0.35,3,0.06866666666666667,0.20467195142519817,0.0007214000215753913,17.0,1.0,20.0,0.0
LocStab,Karate Club,AE,P,0.25,0.35,3,0.09127248500999334,0.2625981522085418,0.0007933999877423048,27.0,1.0,19.0,-0.018654230512991338
LocStab,Karate Club,B,Ld,0.4,0.4,3,0.727509778357236,0.30092202170124244,0.0008391999872401357,10.0,1.0,4.0,0.39684999790558373
LocStab,Karate Club,B,S,0.4,0.4,3,0.727509778357236,0.30092202170124244,0.0011379000497981906,36.0,1.0,4.0,0.0
LocStab,Karate Club,B,P,0.4,0.4,3,0.727509778357236,0.30092202170124244,0.0010174000053666532,17.0,1.0,4.0,-0.01108213820078227
LocStab,Karate Club,AF,Ld,0.4,0.4,3,0.727509778357236,0.30092202170124244,0.0007939000497572124,10.0,1.0,4.0,0.39684999790558373
LocStab,Karate Club,AF,S,0.4,0.4,3,0.237200259235256,0.03934521466988993,0.0007824000203981996,30.0,1.0,4.0,0.0
LocStab,Karate Club,AF,P,0.4,0.4,3,0.00042363905952128787,0.011665823354135041,0.0012496000272221863,15.0,1.0,3.0,0.014403728023723788
LocStab,Karate Club,AE,Ld,0.4,0.4,3,0.727509778357236,0.30092202170124244,0.0007601999677717686,10.0,1.0,4.0,0.39684999790558373
LocStab,Karate Club,AE,S,0.4,0.4,3,0.727509778357236,0.30092202170124244,0.0011112000211142004,30.0,1.0,4.0,0.0
LocStab,Karate Club,AE,P,0.4,0.4,3,0.727509778357236,0.30092202170124244,0.0006726999999955297,17.0,1.0,4.0,-0.01108213820078227
Louvain,Karate Club,-,-,,,4,0.4292907180385289,0.4400873296977193,0.0070247999974526465,,,,
Leiden,Karate Club,-,-,,,4,0.3769484083424808,0.42398943048293697,0.016018600028473884,,,,
LocStab,Karate Club,B,Ld,0.2,0.2,4,0.1328306907639428,0.3027117182961339,0.0010840999893844128,15.0,1.0,16.0,0.35445979971061714
LocStab,Karate Club,B,S,0.2,0.2,4,0.10969246141889641,0.26040553962631885,0.0010379999876022339,19.0,1.0,18.0,0.0
LocStab,Karate Club,B,P,0.2,0.2,4,0.09127248500999334,0.2625981522085418,0.0010896000312641263,31.0,1.0,19.0,-0.011325782811459028
LocStab,Karate Club,AF,Ld,0.2,0.2,4,0.3769484083424808,0.42398943048293697,0.0008030999451875687,0.0,1.0,4.0,1.0
