,Method,Dataset,Rand Index,Modularity,Time,Rand Score with initial clustering,Threshold
10,LS (Enemy-Averse) Heuristic starting with the output of leiden,Karate Club,"(0.517825311942959, 0.04209756035158482)","(0.29596756057795015, 0.003837709083988602)","(0.013071512512397021, 0.0006172096897266018)","(np.float64(0.5401069518716577), np.float64(0.017004263839874235))","(0.4, 0.4)"
11,Louvain (Mod),Cora,"(0.7858549883528616, 0.00231740313487109)","(0.8145327425853837, 0.0010340180982172425)","(1.712047162494855, 0.21397316961919435)",,"(0.4, 0.4)"
12,Leiden (Mod),Cora,"(0.800893411086417, 0.0020590499979903547)","(0.7971339762519536, 0.00605403009511839)","(2.942494187489501, 0.09034745210750786)",,"(0.4, 0.4)"
13,LS (Balanced) Heuristic starting with everyone alone *6 starting clusters,Cora,"(0.38029086743215657, 0.0016848991286280545)","(0.1439999521310118, 0.00011783996422105773)","(21.681052237501717, 0.5700212695121044)",,"(0.4, 0.4)"
14,LS (Balanced) Heuristic starting with predicted number of clusters,Cora,"(0.38189500905524765, 0.0016742910667726042)","(0.14444821684698328, 0.0002473226162703383)","(23.524741724977503, 0.6678249542424857)",,"(0.4, 0.4)"
15,LS (Balanced) Heuristic starting with the output of leiden,Cora,"(0.38796218185905684, 0.0016347698501078373)","(0.1455776386886823, 9.404114640487882e-05)","(171.51323495000543, 6.319416203384335)","(np.float64(0.33515841090362036), np.float64(0.0014788511105286563))","(0.4, 0.4)"
16,LS (Friend-Oriented) Heuristic starting with everyone alone *6 starting clusters,Cora,"(0.3670782270812746, 0.003195990874389306)","(0.1267835707709337, 0.004108293114565742)","(21.55000457499409, 0.7134043619071856)",,"(0.4, 0.4)"
17,LS (Friend-Oriented) Heuristic starting with predicted number of clusters,Cora,"(0.3685632440431531, 0.0034470961710822714)","(0.12906467523897883, 0.0049980801255782685)","(23.154123400032404, 0.6938772459307627)",,"(0.4, 0.4)"
18,LS (Friend-Oriented) Heuristic starting with the output of leiden,Cora,"(0.38680503907207037, 0.0023223511846471507)","(0.1454062809030489, 9.387428237999678e-05)","(172.45530123749631, 4.366588070286419)","(np.float64(0.33515779703476783), np.float64(0.0011410613217015693))","(0.4, 0.4)"
19,LS (Enemy-Averse) Heuristic starting with everyone alone *6 starting clusters,Cora,"(0.5259161446962549, 0.00477868082982605)","(0.23044025262836104, 0.009253582406542464)","(21.406664099995396, 0.47453856004427847)",,"(0.4, 0.4)"
20,LS (Enemy-Averse) Heuristic starting with predicted number of clusters,Cora,"(0.5371271633420439, 0.003665844920934044)","(0.2371550269401712, 0.007146602805134254)","(23.230053437539027, 0.5631017662177357)",,"(0.4, 0.4)"
21,LS (Enemy-Averse) Heuristic starting with the output of leiden,Cora,"(0.7360500349496001, 0.013943017378832679)","(0.4501229821974039, 0.025746894538205726)","(153.13600433748798, 7.622703356754909)","(np.float64(0.8456813507733929), np.float64(0.020816715711957604))","(0.4, 0.4)"
22,Louvain (Mod),Jazz,"(nan, 0.0)","(0.4402550723116808, 0.003682545840099755)","(0.16661622500396334, 0.022129062698825426)",,"(0.4, 0.4)"
23,Leiden (Mod),Jazz,"(nan, 0.0)","(0.44064942121926476, 0.002102396419294032)","(0.3359259750286583, 0.02410094647562932)",,"(0.4, 0.4)"
24,LS (Balanced) Heuristic starting with everyone alone,Jazz,"(nan, 0.0)","(0.03421803684852581, 5.485677294651096e-18)","(1.197336612516665, 0.06985366562074144)",,"(0.4, 0.4)"
25,LS (Balanced) Heuristic starting with predicted number of clusters,Jazz,"(nan, 0.0)","(0.03421803684852581, 5.485677294651096e-18)","(1.1980217125383206, 0.05714319261272831)",,"(0.4, 0.4)"
26,LS (Balanced) Heuristic starting with the output of leiden,Jazz,"(nan, 0.0)","(0.03452800295375546, 1.3669692304004287e-05)","(0.43089464999502525, 0.021333769273197755)","(np.float64(0.42421678716094957), np.float64(0.013566667778373537))","(0.4, 0.4)"
27,LS (Friend-Oriented) Heuristic starting with everyone alone,Jazz,"(nan, 0.0)","(0.025544306066956377, 3.469446951953614e-18)","(1.1902179999888176, 0.03245712728576407)",,"(0.4, 0.4)"
28,LS (Friend-Oriented) Heuristic starting with predicted number of clusters,Jazz,"(nan, 0.0)","(0.025544306066956377, 3.469446951953614e-18)","(1.236243587511126, 0.03539145905182007)",,"(0.4, 0.4)"
29,LS (Friend-Oriented) Heuristic starting with the output of leiden,Jazz,"(nan, 0.0)","(0.03488397185951996, 0.0009600377457972105)","(0.45070202501665335, 0.020140595138487746)","(np.float64(0.41015484797210683), np.float64(0.014216536086019901))","(0.4, 0.4)"
30,LS (Enemy-Averse) Heuristic starting with everyone alone,Jazz,"(nan, 0.0)","(0.17231284125532484, 0.05759126180331681)","(1.2123441374860704, 0.05596262358938083)",,"(0.4, 0.4)"
31,LS (Enemy-Averse) Heuristic starting with predicted number of clusters,Jazz,"(nan, 0.0)","(0.17231284125532484, 0.05759126180331681)","(1.2349871750193415, 0.04221123880163513)",,"(0.4, 0.4)"
32,LS (Enemy-Averse) Heuristic starting with the output of leiden,Jazz,"(nan, 0.0)","(0.3859470455395471, 0.006935350038317347)","(0.4263111625186866, 0.029802563943126564)","(np.float64(0.5779687740347639), np.float64(0.012772424801956775))","(0.4, 0.4)"
33,Louvain (Mod),Random-25,"(0.8463855421686747, 0.008622702264302123)","(0.23713408796367508, 0.0030441394716817015)","(0.34204722501453944, 0.05122650576038445)",,"(0.4, 0.4)"
34,Leiden (Mod),Random-25,"(0.8495823293172691, 0.008085250039754579)","(0.2370995641576063, 0.003146324643226937)","(0.3580280249880161, 0.017488594097786747)",,"(0.4, 0.4)"
35,LS (Balanced) Heuristic starting with everyone alone,Random-25,"(0.957437751004016, 0.00038378111856706955)","(0.1046365773860484, 0.004560571451987058)","(1.787430662458064, 0.041472980707650334)",,"(0.4, 0.4)"
36,LS (Balanced) Heuristic starting with predicted number of clusters,Random-25,"(0.9298714859437751, 0.0002628605328827963)","(0.17976872314882264, 0.0027892223109095525)","(0.31448708749667276, 0.010993273232577323)",,"(0.4, 0.4)"
37,LS (Balanced) Heuristic starting with the output of leiden,Random-25,"(0.8633775100401605, 0.008296592933193996)","(0.2392267183383041, 0.0027050797547500892)","(0.4697802249720553, 0.018081621444397324)","(np.float64(0.7953855421686747), np.float64(0.009061820727294863))","(0.4, 0.4)"
38,LS (Friend-Oriented) Heuristic starting with everyone alone,Random-25,"(0.9552289156626507, 0.00021372103928755614)","(0.12794234326877277, 0.002761608865812552)","(1.9520566624996718, 0.06808498099109894)",,"(0.4, 0.4)"
39,LS (Friend-Oriented) Heuristic starting with predicted number of clusters,Random-25,"(0.9299919678714859, 0.00042714010603400526)","(0.18716429478243513, 0.005536559649099587)","(0.3401313499780372, 0.013123639542584793)",,"(0.4, 0.4)"
40,LS (Friend-Oriented) Heuristic starting with the output of leiden,Random-25,"(0.8578875502008032, 0.007283643793584629)","(0.239255014557639, 0.002734808094681153)","(0.4631650250084931, 0.02202771561755645)","(np.float64(0.7907309236947792), np.float64(0.009566248200174642))","(0.4, 0.4)"
41,LS (Enemy-Averse) Heuristic starting with everyone alone,Random-25,"(0.9583293172690763, 0.00022775015066276046)","(0.09358891913601558, 0.0021012528691366993)","(1.7390924875217024, 0.038263806068115004)",,"(0.4, 0.4)"
42,LS (Enemy-Averse) Heuristic starting with predicted number of clusters,Random-25,"(0.9300160642570282, 0.0004534419333742364)","(0.177384121741783, 0.004898629428470502)","(0.31874158752907533, 0.00994957050465311)",,"(0.4, 0.4)"
43,LS (Enemy-Averse) Heuristic starting with the output of leiden,Random-25,"(0.8642891566265061, 0.009222282753499643)","(0.23957086808286424, 0.005295555046981567)","(0.4649684749892913, 0.021458566285958238)","(np.float64(0.7956465863453815), np.float64(0.004951310488834834))","(0.4, 0.4)"
