,Method,Dataset,Rand Index,Modularity,Time,Rand Score with initial clustering,Threshold
16,LP (Friend-Oriented) Heuristic starting with everyone alone *6 starting clusters,Cora,"(0.37864691300359754, 0.00016671596454192607)","(0.14391580851887792, 0.00018919786970741549)","(37.98087459999988, 3.5463684724579827)",,"(0.4, 0.4)"
17,LP (Friend-Oriented) Heuristic starting with predicted number of clusters,Cora,"(0.38017037179717333, 0.00030966983419498267)","(0.14421912236670312, 0.00031543499715192957)","(41.45821745000103, 3.9545233535189683)",,"(0.4, 0.4)"
18,LP (Friend-Oriented) Heuristic starting with the output of leiden,Cora,"(0.38643240703706516, 3.09587604596866e-06)","(0.1454793116227699, 3.9216825875189117e-07)","(344.84959940999977, 21.456037708565685)","(0.3347773620445707, 0.0009927237995351402)","(0.4, 0.4)"
19,LP (Enemy-Averse) Heuristic starting with everyone alone *6 starting clusters,Cora,"(0.3788143218604428, 0.000160981235700956)","(0.1438878284042336, 0.00029712215697831027)","(38.22046794999915, 2.9870867988466068)",,"(0.4, 0.4)"
20,LP (Enemy-Averse) Heuristic starting with predicted number of clusters,Cora,"(0.3805664399808145, 0.00027641727833979847)","(0.14437286671593683, 0.0003316472635413064)","(42.032733620000364, 3.519052574414375)",,"(0.4, 0.4)"
21,LP (Enemy-Averse) Heuristic starting with the output of leiden,Cora,"(0.3864085343594675, 8.059408568208715e-06)","(0.1457114573696417, 7.730406494117989e-05)","(347.02034738000003, 24.31855301378502)","(0.3347803904642431, 0.0008143607522846477)","(0.4, 0.4)"
22,Louvain (Mod),Jazz,"(nan, 0.0)","(0.44301649889526773, 0.0017797438899778957)","(0.34679302999938955, 0.04729276593389761)",,"(0.4, 0.4)"
23,Leiden (Mod),Jazz,"(nan, 0.0)","(0.44339876604096207, 0.002976655340193265)","(0.6193054299976211, 0.060101453470822186)",,"(0.4, 0.4)"
24,LP (Balanced) Heuristic starting with everyone alone,Jazz,"(nan, 0.0)","(0.03421803684852579, 0.0)","(2.410356769999635, 0.24422377416536833)",,"(0.4, 0.4)"
25,LP (Balanced) Heuristic starting with predicted number of clusters,Jazz,"(nan, 0.0)","(0.03421803684852579, 0.0)","(2.5039000800017677, 0.30103257516691306)",,"(0.4, 0.4)"
26,LP (Balanced) Heuristic starting with the output of leiden,Jazz,"(nan, 0.0)","(0.03452967880568676, 1.2635699551303775e-05)","(0.8333106499987479, 0.1079008032855804)","(0.42397579859508794, 0.008584673104773248)","(0.4, 0.4)"
27,LP (Friend-Oriented) Heuristic starting with everyone alone,Jazz,"(nan, 0.0)","(0.03421608168793928, 5.865481759548957e-06)","(2.4342447100003484, 0.23434743034579866)",,"(0.4, 0.4)"
28,LP (Friend-Oriented) Heuristic starting with predicted number of clusters,Jazz,"(nan, 0.0)","(0.03421608168793928, 5.865481759548957e-06)","(2.4803870699979598, 0.1964012707109696)",,"(0.4, 0.4)"
29,LP (Friend-Oriented) Heuristic starting with the output of leiden,Jazz,"(nan, 0.0)","(0.03452967880568676, 1.2635699551303775e-05)","(0.853257869999652, 0.1066922033748135)","(0.4243962467312721, 0.011972291967241406)","(0.4, 0.4)"
30,LP (Enemy-Averse) Heuristic starting with everyone alone,Jazz,"(nan, 0.0)","(0.03421803684852579, 0.0)","(2.504094339999574, 0.22979127854831)",,"(0.4, 0.4)"
31,LP (Enemy-Averse) Heuristic starting with predicted number of clusters,Jazz,"(nan, 0.0)","(0.03421803684852579, 0.0)","(2.5466377500008095, 0.32624579752427735)",,"(0.4, 0.4)"
32,LP (Enemy-Averse) Heuristic starting with the output of leiden,Jazz,"(nan, 0.0)","(0.034534254147467455, 1.2190029093199283e-06)","(0.8162833500005945, 0.07015653617725698)","(0.4255037686509767, 0.008534713415961133)","(0.4, 0.4)"
33,Louvain (Mod),Random-25,"(0.8512224899598394, 0.010698033428023558)","(0.23742345475243973, 0.0036026234081844074)","(0.6895176300007734, 0.18561223574722993)",,"(0.4, 0.4)"
34,Leiden (Mod),Random-25,"(0.8466088353413654, 0.009532764015793614)","(0.2336119667471229, 0.0048657227174975365)","(0.7514334599989525, 0.07736979323441254)",,"(0.4, 0.4)"
35,LP (Balanced) Heuristic starting with everyone alone,Random-25,"(0.9585188755020079, 0.00036644820334848287)","(0.10659298855354912, 0.0035069468282889864)","(3.840824899999279, 0.5055931856637539)",,"(0.4, 0.4)"
36,LP (Balanced) Heuristic starting with predicted number of clusters,Random-25,"(0.9318971887550201, 0.000445197342964517)","(0.182307330396775, 0.004563445654200779)","(0.6333331600006205, 0.05871400284894057)",,"(0.4, 0.4)"
37,LP (Balanced) Heuristic starting with the output of leiden,Random-25,"(0.8668337349397591, 0.009853693220122556)","(0.24045702894393445, 0.004332252052716233)","(0.9480276399990544, 0.06837104126004886)","(0.7936224899598393, 0.008504949285693609)","(0.4, 0.4)"
38,LP (Friend-Oriented) Heuristic starting with everyone alone,Random-25,"(0.9570763052208834, 0.0002082165686235559)","(0.1250748595955967, 0.002126360897400961)","(3.9132782000000588, 0.4171960670320865)",,"(0.4, 0.4)"
39,LP (Friend-Oriented) Heuristic starting with predicted number of clusters,Random-25,"(0.9320803212851405, 0.0005122458079967017)","(0.1870231436268704, 0.0027208615864859603)","(0.6732375700004922, 0.06961471630358682)",,"(0.4, 0.4)"
40,LP (Friend-Oriented) Heuristic starting with the output of leiden,Random-25,"(0.8663004016064256, 0.008408041336145845)","(0.2397713473461928, 0.0043056816586749735)","(0.9443835899997793, 0.10565673350993711)","(0.7924658634538152, 0.011771733658523038)","(0.4, 0.4)"
41,LP (Enemy-Averse) Heuristic starting with everyone alone,Random-25,"(0.9595983935742971, 0.00030044885052546205)","(0.09608066356584398, 0.0028273767603946265)","(3.7238594299997203, 0.40452202594794134)",,"(0.4, 0.4)"
42,LP (Enemy-Averse) Heuristic starting with predicted number of clusters,Random-25,"(0.9321702811244981, 0.0005028497361352803)","(0.1781835347846977, 0.0038459844359348583)","(0.6368549800012261, 0.07882296317952225)",,"(0.4, 0.4)"
43,LP (Enemy-Averse) Heuristic starting with the output of leiden,Random-25,"(0.8687807228915663, 0.007780074747170689)","(0.2381199411711627, 0.004001627701573276)","(0.9839372999995248, 0.15759316078919078)","(0.7954152610441767, 0.006189657252670266)","(0.4, 0.4)"
