Method,Dataset,Preference,Initialization,Beta Friend,Beta Enemy,Repetition,Adjusted Rand Index,Modularity,Seconds,Moves,Converged,Final Coalitions,Initial Adjusted Rand Index
LocPop,Jazz,B,S,0.2,0.2,8,,0.32748480959927984,0.0174737999914214,183.0,1.0,36.0,0.0
LocPop,Jazz,AF,Ld,0.2,0.2,8,,0.3266146301341586,0.008263199939392507,99.0,1.0,35.0,0.3488860686977755
LocPop,Jazz,AF,S,0.2,0.2,8,,0.3272271141138121,0.015311499941162765,187.0,1.0,36.0,0.0
LocPop,Jazz,AE,Ld,0.2,0.2,8,,0.3118694607108485,0.008094999939203262,109.0,1.0,39.0,0.3177015849190587
LocPop,Jazz,AE,S,0.2,0.2,8,,0.3079010167367066,0.014867199934087694,176.0,1.0,42.0,0.0
LocPop,Jazz,B,Ld,0.25,0.35,8,,0.42911704947912926,0.005117400083690882,48.0,1.0,13.0,0.6501278427865114
LocPop,Jazz,B,S,0.25,0.35,8,,0.27427278666511323,0.020169700030237436,228.0,1.0,18.0,0.0
LocPop,Jazz,AF,Ld,0.25,0.35,8,,0.4303869728315141,0.005500299972482026,49.0,1.0,14.0,0.6531927831695079
LocPop,Jazz,AF,S,0.25,0.35,8,,0.27520235247049835,0.02020609995815903,225.0,1.0,19.0,0.0
LocPop,Jazz,AE,Ld,0.25,0.35,8,,0.4301125188267334,0.0052909000078216195,50.0,1.0,14.0,0.649095435884471
LocPop,Jazz,AE,S,0.25,0.35,8,,0.27323728307692796,0.01992900006007403,228.0,1.0,21.0,0.0
LocPop,Jazz,B,Ld,0.4,0.4,8,,0.03421803684852579,0.008472000015899539,117.0,1.0,10.0,0.038133329152769874
LocPop,Jazz,B,S,0.4,0.4,8,,0.03421803684852579,0.018628700054250658,193.0,1.0,10.0,0.0
LocPop,Jazz,AF,Ld,0.4,0.4,8,,0.03419848524266063,0.0076388000743463635,116.0,1.0,9.0,0.04105835571143921
LocPop,Jazz,AF,S,0.4,0.4,8,,0.03421803684852579,0.017206500051543117,193.0,1.0,10.0,0.0
