Method,Dataset,Preference,Initialization,Beta Friend,Beta Enemy,Repetitions,Adjusted Rand Index,Adjusted Rand Index SD,Modularity,Modularity SD,Seconds,Seconds SD,Moves,Moves SD,Converged,Converged SD,Final Coalitions,Final Coalitions SD,Initial Adjusted Rand Index,Initial Adjusted Rand Index SD
LocPop,Karate Club,AF,P,0.25,0.35,10,0.13419364896636204,0.016210108525128608,0.2904893086711269,0.018020574806583863,0.000923549965955317,0.00034781317628158507,27.4,1.8000000000000003,1.0,0.0,17.1,1.0440306508910548,0.006855455887963972,0.01861248537870352
LocPop,Karate Club,AE,Ld,0.25,0.35,10,0.10143494080869164,0.003387485266232766,0.2631294391034651,0.00017709563164108324,0.0007899199961684644,0.00010636272502902396,17.5,0.6708203932499369,1.0,0.0,18.1,0.3,0.2956452562026428,0.012360039720669196
LocPop,Karate Club,AE,S,0.25,0.35,10,0.09148762531862864,0.004152147937695366,0.24282153632802986,0.020582277395230428,0.000751909997779876,7.960263531099369e-05,17.2,1.6613247725836147,1.0,0.0,19.2,0.4,0.0,0.0
LocPop,Karate Club,AE,P,0.25,0.35,10,0.0957094042450797,0.005435556066116178,0.2592979891681191,0.006899274691033346,0.0009107399848289788,0.00031947370389652887,29.8,2.039607805437114,1.0,0.0,19.0,0.6324555320336759,0.0011775529251089687,0.019646875013278033
LocPop,Karate Club,B,Ld,0.4,0.4,10,0.615885072571103,0.13671178593216132,0.2821667509979198,0.02297042160545532,0.0007667299709282815,0.00022241168459118392,10.5,1.5,1.0,0.0,4.0,0.0,0.3966301864247813,0.06047532701978051
LocPop,Karate Club,B,S,0.4,0.4,10,0.5879788961245698,0.13953088223266616,0.27747793332208914,0.023444088379153294,0.0008995499927550554,0.00018326208879567384,35.5,1.02469507659596,1.0,0.0,4.0,0.0,0.0,0.0
LocPop,Karate Club,B,P,0.4,0.4,10,0.5600727196780365,0.13671178593216132,0.27278911564625846,0.02297042160545532,0.0007251699804328382,9.254894974030694e-05,15.7,1.8466185312619388,1.0,0.0,4.0,0.0,0.01250724126230449,0.037090897647426985
LocPop,Karate Club,AF,Ld,0.4,0.4,10,0.615885072571103,0.13671178593216132,0.2821667509979198,0.02297042160545532,0.00071967002004385,7.136462035405731e-05,10.5,1.5,1.0,0.0,4.0,0.0,0.3966301864247813,0.06047532701978051
LocPop,Karate Club,AF,S,0.4,0.4,10,0.5879788961245698,0.13953088223266616,0.27747793332208914,0.023444088379153294,0.00089490000391379,0.00014081082534890096,35.5,1.02469507659596,1.0,0.0,4.0,0.0,0.0,0.0
LocPop,Karate Club,AF,P,0.4,0.4,10,0.5879788961245698,0.13953088223266616,0.27747793332208914,0.023444088379153294,0.0007188099902123213,5.1261941360683756e-05,15.8,1.5362291495737217,1.0,0.0,4.0,0.0,0.013830110576587016,0.03597323366578494
LocPop,Karate Club,AE,Ld,0.4,0.4,10,0.615885072571103,0.13671178593216132,0.2821667509979198,0.02297042160545532,0.0006972300237976014,6.516891746893696e-05,10.5,1.5,1.0,0.0,4.0,0.0,0.3966301864247813,0.06047532701978051
LocPop,Karate Club,AE,S,0.4,0.4,10,0.5879788961245698,0.13953088223266616,0.27747793332208914,0.023444088379153294,0.0008846099837683142,0.00016161822028981865,32.2,1.9899748742132397,1.0,0.0,4.0,0.0,0.0,0.0
