Method,Dataset,Preference,Initialization,Beta Friend,Beta Enemy,Repetition,Adjusted Rand Index,Silhouette Score,Seconds,Moves,Converged,Final Coalitions,Initial Adjusted Rand Index
LocStab,Moons,B,S,0.4,0.4,1,0.3064669498783942,0.3907772806593846,0.09927690005861223,344.0,1.0,4.0,0.0
LocStab,Moons,B,P,0.4,0.4,1,0.3064669498783942,0.3907772806593846,0.05251389998011291,257.0,1.0,4.0,0.0019214987271900434
LocStab,Moons,B,KM,0.4,0.4,1,0.3064669498783942,0.3907772806593846,0.01788459997624159,88.0,1.0,4.0,0.5787134291187066
LocStab,Moons,B,D,0.4,0.4,1,0.3064669498783942,0.3907772806593846,0.03308100008871406,123.0,1.0,4.0,0.3102430193656576
LocStab,Moons,AF,S,0.4,0.4,1,0.40638111357079987,0.3325217749364494,0.08250130002852529,296.0,1.0,4.0,0.0
LocStab,Moons,AF,P,0.4,0.4,1,0.5362278031849589,0.48825324888487953,0.037942899973131716,162.0,1.0,2.0,-0.003174936495304411
LocStab,Moons,AF,KM,0.4,0.4,1,0.5362278031849589,0.48825324888487953,0.012882299954071641,6.0,1.0,2.0,0.9213371373798076
LocStab,Moons,AF,D,0.4,0.4,1,0.5362278031849589,0.48825324888487953,0.027112300042062998,40.0,1.0,2.0,0.5409912814612331
LocStab,Moons,AE,S,0.4,0.4,1,0.18128967740874663,0.046516240046503926,0.0846851000096649,290.0,1.0,10.0,0.0
LocStab,Moons,AE,P,0.4,0.4,1,0.2830415244218031,0.3332704874196821,0.05727119999937713,242.0,1.0,5.0,0.015873667889767108
LocStab,Moons,AE,KM,0.4,0.4,1,0.3064669498783942,0.3907772806593846,0.025406400091014802,88.0,1.0,4.0,0.5787134291187066
LocStab,Moons,AE,D,0.4,0.4,1,0.3064669498783942,0.3907772806593846,0.038986400002613664,123.0,1.0,4.0,0.3102430193656576
KMeans,Moons,-,-,,,2,0.4789688417784687,0.487960464061325,0.13750800001434982,,,,
DBSCAN,Moons,-,-,,,2,0.9933554078979533,0.017502488854272108,0.0037791000213474035,,,,
LocStab,Moons,B,S,0.2,0.2,2,0.22554913678559285,0.44454522916997236,0.08994700002949685,355.0,1.0,11.0,0.0
LocStab,Moons,B,P,0.2,0.2,2,0.22519053721251198,0.48209073322549284,0.07200450007803738,315.0,1.0,10.0,0.0024495825900500475
LocStab,Moons,B,KM,0.2,0.2,2,0.23608261650532836,0.46633722421439433,0.05024310003500432,231.0,1.0,10.0,0.18817784654632974
LocStab,Moons,B,D,0.2,0.2,2,0.23608261650532836,0.46633722421439433,0.05519139999523759,231.0,1.0,10.0,0.23859412265604218
LocStab,Moons,AF,S,0.2,0.2,2,0.27708890107504636,0.19413392339224902,0.08475489995907992,288.0,1.0,12.0,0.0
LocStab,Moons,AF,P,0.2,0.2,2,0.08107220477857237,-0.1600577918536832,0.0358897999394685,133.0,1.0,5.0,0.011949712174805855
LocStab,Moons,AF,KM,0.2,0.2,2,0.9866665195128234,0.3887840646591878,0.016179600032046437,45.0,1.0,2.0,0.4882889681228791
LocStab,Moons,AF,D,0.2,0.2,2,0.9933554078979533,0.017502488854272108,0.008350200019776821,0.0,1.0,3.0,1.0
LocStab,Moons,AE,S,0.2,0.2,2,0.13416815742397137,0.33261015146945205,0.08510530006606132,281.0,1.0,19.0,0.0
LocStab,Moons,AE,P,0.2,0.2,2,0.19726268058590235,0.41862101377120037,0.07529470010194927,312.0,1.0,12.0,0.002491680565414989
LocStab,Moons,AE,KM,0.2,0.2,2,0.23088320414031704,0.3586047366397426,0.05301589996088296,230.0,1.0,12.0,0.18297907058776564
LocStab,Moons,AE,D,0.2,0.2,2,0.23088320414031704,0.3586047366397426,0.048052199999801815,230.0,1.0,12.0,0.23334155754479907
LocStab,Moons,B,S,0.25,0.35,2,0.34086636038368073,0.49358565966992796,0.10281369998119771,381.0,1.0,6.0,0.0
LocStab,Moons,B,P,0.25,0.35,2,0.30264266427180664,0.47045469082195446,0.06625659996643662,298.0,1.0,5.0,0.0013242460150834341
LocStab,Moons,B,KM,0.25,0.35,2,0.34086636038368073,0.49358565966992796,0.04133949999231845,169.0,1.0,6.0,0.30921618136993256
LocStab,Moons,B,D,0.25,0.35,2,0.2993108640043106,0.4692919099212285,0.04960739996749908,158.0,1.0,5.0,0.30323472686274633
LocStab,Moons,AF,S,0.25,0.35,2,0.47538844856585477,0.3119571311570073,0.08633129997178912,298.0,1.0,5.0,0.0
LocStab,Moons,AF,P,0.25,0.35,2,0.7736791418503088,0.14323571561746207,0.032465800060890615,131.0,1.0,4.0,0.014489725270931016
LocStab,Moons,AF,KM,0.25,0.35,2,0.6387921617943852,0.479988806401896,0.010622899979352951,16.0,1.0,2.0,0.7973669765601505
LocStab,Moons,AF,D,0.25,0.35,2,0.9342244691686101,0.4068464470569047,0.00946750002913177,5.0,1.0,2.0,0.940778426974007
LocStab,Moons,AE,S,0.25,0.35,2,0.21835639850785005,0.18511377346803806,0.09023650002200156,290.0,1.0,11.0,0.0
LocStab,Moons,AE,P,0.25,0.35,2,0.29277104670049503,0.33838884315296613,0.06257099995855242,293.0,1.0,7.0,-0.00022061319407399481
LocStab,Moons,AE,KM,0.25,0.35,2,0.32826481972302424,0.48987714287822703,0.03644489997532219,169.0,1.0,6.0,0.31252284435422295
LocStab,Moons,AE,D,0.25,0.35,2,0.32826481972302424,0.48987714287822703,0.03700280003249645,159.0,1.0,6.0,0.3320387588589363
LocStab,Moons,B,S,0.4,0.4,2,0.3064669498783942,0.3907772806593846,0.10764220007695258,394.0,1.0,4.0,0.0
LocStab,Moons,B,P,0.4,0.4,2,0.3064669498783942,0.3907772806593846,0.059318700106814504,259.0,1.0,4.0,0.004511474704722278
LocStab,Moons,B,KM,0.4,0.4,2,0.3064669498783942,0.3907772806593846,0.03298799996264279,86.0,1.0,4.0,0.5787134291187066
LocStab,Moons,B,D,0.4,0.4,2,0.3064669498783942,0.3907772806593846,0.03132529999129474,123.0,1.0,4.0,0.3102430193656576
LocStab,Moons,AF,S,0.4,0.4,2,0.5561406337368657,0.13352674339302864,0.08731680002529174,307.0,1.0,3.0,0.0
LocStab,Moons,AF,P,0.4,0.4,2,0.5362278031849589,0.48825324888487953,0.03306349995546043,140.0,1.0,2.0,0.0053870117535886565
LocStab,Moons,AF,KM,0.4,0.4,2,0.5362278031849589,0.48825324888487953,0.010091700009070337,8.0,1.0,2.0,0.9213371373798076
LocStab,Moons,AF,D,0.4,0.4,2,0.5362278031849589,0.48825324888487953,0.01502799999434501,40.0,1.0,2.0,0.5409912814612331
LocStab,Moons,AE,S,0.4,0.4,2,0.19791286915545742,0.09314958842516025,0.09577040001749992,312.0,1.0,9.0,0.0
LocStab,Moons,AE,P,0.4,0.4,2,0.27736429965731657,0.3989436181941028,0.05565810005646199,242.0,1.0,4.0,0.0077101152021455685
LocStab,Moons,AE,KM,0.4,0.4,2,0.3064669498783942,0.3907772806593846,0.02334300009533763,86.0,1.0,4.0,0.5787134291187066
LocStab,Moons,AE,D,0.4,0.4,2,0.3064669498783942,0.3907772806593846,0.03646059997845441,123.0,1.0,4.0,0.3102430193656576
KMeans,Moons,-,-,,,3,0.4789688417784687,0.4879604640613249,0.15299520001281053,,,,
DBSCAN,Moons,-,-,,,3,0.9933554078979533,0.017502488854272115,0.0037755999946966767,,,,
LocStab,Moons,B,S,0.2,0.2,3,0.2153735406808962,0.4944517307065099,0.08715319994371384,366.0,1.0,10.0,0.0
LocStab,Moons,B,P,0.2,0.2,3,0.23267612533020765,0.355917565042309,0.05954240006394684,278.0,1.0,12.0,0.0034133607024214255
LocStab,Moons,B,KM,0.2,0.2,3,0.23608261650532836,0.46633722421439433,0.06168519996572286,239.0,1.0,10.0,0.18817784654632974
LocStab,Moons,B,D,0.2,0.2,3,0.23608261650532836,0.46633722421439433,0.05849630001466721,239.0,1.0,10.0,0.23859412265604218
LocStab,Moons,AF,S,0.2,0.2,3,0.26279399489482635,0.4181326964454207,0.0627923000138253,291.0,1.0,10.0,0.0
LocStab,Moons,AF,P,0.2,0.2,3,0.3459469488947363,-0.2902994390349852,0.03681780002079904,176.0,1.0,5.0,-0.0008358497821033286
LocStab,Moons,AF,KM,0.2,0.2,3,0.9866665195128234,0.38878406465918774,0.01004990004003048,45.0,1.0,2.0,0.4882889681228791
LocStab,Moons,AF,D,0.2,0.2,3,0.9933554078979533,0.017502488854272115,0.007312599918805063,0.0,1.0,3.0,1.0
LocStab,Moons,AE,S,0.2,0.2,3,0.14174799190344803,0.33212282270681576,0.06291530001908541,283.0,1.0,17.0,0.0
LocStab,Moons,AE,P,0.2,0.2,3,0.2234423520077588,0.30800051086474517,0.05792460008524358,279.0,1.0,13.0,0.0038297567554190716
LocStab,Moons,AE,KM,0.2,0.2,3,0.22097692796313642,0.37625074997998126,0.051378700067289174,238.0,1.0,12.0,0.17906430713661206
LocStab,Moons,AE,D,0.2,0.2,3,0.22097692796313642,0.37625074997998126,0.05556630005594343,238.0,1.0,12.0,0.22333300142352452
LocStab,Moons,B,S,0.25,0.35,3,0.2993108640043106,0.4692919099212285,0.09289169998373836,330.0,1.0,5.0,0.0
LocStab,Moons,B,P,0.25,0.35,3,0.3351321120410065,0.49466597844514837,0.06123310001567006,312.0,1.0,6.0,0.0014915923809819878
LocStab,Moons,B,KM,0.25,0.35,3,0.2993108640043106,0.4692919099212285,0.034816899918951094,148.0,1.0,5.0,0.32690123637959145
LocStab,Moons,B,D,0.25,0.35,3,0.2993108640043106,0.4692919099212285,0.041193799930624664,158.0,1.0,5.0,0.30323472686274633
LocStab,Moons,AF,S,0.25,0.35,3,0.3362255294437018,0.4380353984317953,0.09635150001849979,319.0,1.0,5.0,0.0
LocStab,Moons,AF,P,0.25,0.35,3,0.6715392810909955,0.14456253095470434,0.04205419996287674,170.0,1.0,4.0,0.00025744252774554776
LocStab,Moons,AF,KM,0.25,0.35,3,0.6387921617943852,0.4799888064018961,0.013714800006709993,16.0,1.0,2.0,0.7973669765601505
LocStab,Moons,AF,D,0.25,0.35,3,0.9342244691686101,0.4068464470569047,0.012159400037489831,5.0,1.0,2.0,0.940778426974007
LocStab,Moons,AE,S,0.25,0.35,3,0.22675488942304672,0.27239758322506635,0.09788439993280917,306.0,1.0,10.0,0.0
LocStab,Moons,AE,P,0.25,0.35,3,0.32201735353054356,0.48618461721995726,0.06791420001536608,292.0,1.0,6.0,0.004454589980879221
LocStab,Moons,AE,KM,0.25,0.35,3,0.2919392686755039,0.4653644385865397,0.03729899995960295,143.0,1.0,5.0,0.3381146180288197
LocStab,Moons,AE,D,0.25,0.35,3,0.32826481972302424,0.4898771428782269,0.039222100051119924,158.0,1.0,6.0,0.3320387588589363
