Method,Dataset,Preference,Initialization,Beta Friend,Beta Enemy,Repetitions,Adjusted Rand Index,Adjusted Rand Index SD,Silhouette Score,Silhouette Score SD,Seconds,Seconds SD,Moves,Moves SD,Converged,Converged SD,Final Coalitions,Final Coalitions SD,Initial Adjusted Rand Index,Initial Adjusted Rand Index SD
LocStab,Moons,AF,S,0.4,0.4,10,0.4493651501979774,0.05703991189311406,0.3377805319046316,0.08744624678859517,0.08495692998403684,0.023364972940277305,304.7,11.000454536063499,1.0,0.0,3.5,0.6708203932499369,0.0,0.0
LocStab,Moons,AF,P,0.4,0.4,10,0.5362278031849589,0.0,0.4882532488848795,5.2662502028650513e-17,0.032398139988072214,0.008049316431667553,150.2,10.332473082471592,1.0,0.0,2.0,0.0,0.00021416801988242826,0.0034031575313009455
LocStab,Moons,AF,KM,0.4,0.4,10,0.5362278031849589,0.0,0.4882532488848795,5.2662502028650513e-17,0.009748400002717972,0.0020130267685280695,7.6,0.7999999999999999,1.0,0.0,2.0,0.0,0.9213371373798077,1.1102230246251565e-16
LocStab,Moons,AF,D,0.4,0.4,10,0.5362278031849589,0.0,0.4882532488848795,5.2662502028650513e-17,0.01762787998886779,0.004637597243370063,40.0,0.0,1.0,0.0,2.0,0.0,0.5409912814612331,0.0
LocStab,Moons,AE,S,0.4,0.4,10,0.1850632214358337,0.015559094542640003,0.08348350832125397,0.10736271097969557,0.08422209001146257,0.013341107626961592,298.3,7.6164296097318465,1.0,0.0,9.5,1.2041594578792296,0.0,0.0
LocStab,Moons,AE,P,0.4,0.4,10,0.2823308721899102,0.016139267946109807,0.31968975614881834,0.052259680425240575,0.05078455999027938,0.011831921300373622,241.7,10.03045362882457,1.0,0.0,5.0,0.4472135954999579,0.012980408932603455,0.007680903788282647
LocStab,Moons,AE,KM,0.4,0.4,10,0.3064669498783942,0.0,0.3907772806593846,0.0,0.022549340035766363,0.0038998797018737334,86.5,1.02469507659596,1.0,0.0,4.0,0.0,0.5787134291187066,0.0
LocStab,Moons,AE,D,0.4,0.4,10,0.3064669498783942,0.0,0.3907772806593846,0.0,0.03032816998893395,0.007168114539280338,123.0,0.0,1.0,0.0,4.0,0.0,0.3102430193656577,5.551115123125783e-17
KMeans,3 Circles,-,-,,,10,0.44427827189302505,0.001412614165912235,0.40986816970203555,0.0035944331095293346,0.06712258998304606,0.006792022205402553,,,,,,,,
DBSCAN,3 Circles,-,-,,,10,0.18716667220567862,0.0004282094211906041,0.1265458073088476,0.0005786473630675606,0.0030914800125174226,0.00011123071677891903,,,,,,,,
LocStab,3 Circles,B,S,0.2,0.2,10,0.2854026205998739,0.001111719450279524,0.27189880054776794,0.017627532322833338,0.07464391000103206,0.006312870001714795,351.2,19.260321908005587,1.0,0.0,8.9,0.3,0.0,0.0
LocStab,3 Circles,B,P,0.2,0.2,10,0.2885023857677855,0.0007789296829763435,0.41536282262460017,0.030228102833280444,0.03619169999146834,0.0017408637064190609,292.6,18.298633828786237,1.0,0.0,7.1,0.3,-0.0013110916191886386,0.002739426241125834
LocStab,3 Circles,B,KM,0.2,0.2,10,0.287725215223464,0.0,0.39828850643392244,3.925231146709438e-17,0.02087378001306206,0.0007012030552927069,159.0,4.494441010848846,1.0,0.0,7.0,0.0,0.43332771613498544,0.010904855224954794
LocStab,3 Circles,B,D,0.2,0.2,10,0.2862259149432136,0.003720179280640341,0.3438304456045053,0.042171801083510665,0.01964256000937894,0.0005765512858348149,158.6,2.009975124224178,1.0,0.0,7.6,0.4898979485566356,0.3423548284294311,0.005189646573451217
LocStab,3 Circles,AF,S,0.2,0.2,10,0.30584407868942864,0.01633214957362499,0.2561067684420171,0.03276628460979556,0.050697039975784716,0.0029122735166444732,299.4,3.903844259188627,1.0,0.0,7.6,0.66332495807108,0.0,0.0
LocStab,3 Circles,AF,P,0.2,0.2,10,0.3142243999255214,0.08101580599911196,0.01592622195491141,0.14546306976365558,0.025042840011883526,0.001596610700399624,195.9,18.113254815189897,1.0,0.0,5.6,1.2806248474865698,0.007380756710190515,0.008962072809697776
LocStab,3 Circles,AF,KM,0.2,0.2,10,0.452581654185425,0.0041804082633788925,0.4131493669316931,0.002500700699643467,0.006326729978900403,0.0011002506893646419,6.3,2.1,1.0,0.0,3.0,0.0,0.9291129382510652,0.023629020582978208
LocStab,3 Circles,AF,D,0.2,0.2,10,0.28492769431524156,0.0,0.288280750911675,1.7554167342883506e-17,0.013865169987548142,0.0026640692752122087,83.6,0.8,1.0,0.0,7.0,0.0,0.683743125701136,0.0008100323101420557
LocStab,3 Circles,AE,S,0.2,0.2,10,0.17234610042472498,0.011988812941106392,0.14556030936150785,0.03658332519327782,0.04962773999432102,0.005049986703434394,287.6,5.730619512757761,1.0,0.0,18.3,1.1,0.0,0.0
LocStab,3 Circles,AE,P,0.2,0.2,10,0.277257105535661,0.006398315398831898,0.27091834611556836,0.07384559040695832,0.03396799000911414,0.0019497382504617897,272.6,11.191067866830226,1.0,0.0,9.8,1.16619037896906,0.0050608353681979214,0.004142686370347733
LocStab,3 Circles,AE,KM,0.2,0.2,10,0.271346914102608,0.001813384252172433,0.2788792999809523,0.01992728762529908,0.02069187000161037,0.0010342669151389876,151.3,3.465544690232691,1.0,0.0,9.1,0.3,0.4207839131204332,0.005058558915957137
LocStab,3 Circles,AE,D,0.2,0.2,10,0.24043768208285607,0.0006957057720010834,0.2521339282022816,0.022369403059152238,0.02252306001028046,0.0013965416686110318,174.0,0.0,1.0,0.0,11.4,0.4898979485566356,0.4357818794566267,0.0008291253759279288
LocStab,3 Circles,B,S,0.25,0.35,10,0.41628895054124426,0.003135705479323884,0.2893418225857908,0.0002952399242305662,0.06797671999083832,0.0065586848088646215,344.2,23.81512124680452,1.0,0.0,4.0,0.0,0.0,0.0
LocStab,3 Circles,B,P,0.25,0.35,10,0.41555113208646405,0.0015517503625977424,0.2894214494761294,0.00020224165963653545,0.03252366998931393,0.005382734695128864,258.4,43.234708279344275,1.0,0.0,4.0,0.0,-0.00044907531253461956,0.0028984289084862
LocStab,3 Circles,B,KM,0.25,0.35,10,0.42430898484829066,0.0,0.28911022060037705,4.965068306494546e-17,0.006098309997469187,0.00033182840585898763,6.3,0.9,1.0,0.0,4.0,0.0,0.9500902468423238,0.014253299105890072
LocStab,3 Circles,B,D,0.25,0.35,10,0.4171069276537409,0.0,0.28881208261549174,0.0,0.021630920004099607,0.002177552273776096,158.0,1.0954451150103321,1.0,0.0,4.0,0.0,0.2794067047809583,0.0003801297749596275
LocStab,3 Circles,AF,S,0.25,0.35,10,0.34562960632521533,0.043674432841556185,0.1391743065389299,0.04005819704021927,0.06183837000280619,0.005953421155773393,297.1,5.374941860150675,1.0,0.0,4.9,0.3,0.0,0.0
LocStab,3 Circles,AF,P,0.25,0.35,10,0.40686681713770756,0.033591279997752146,0.22568492257527278,0.13648164648471325,0.025272079999558626,0.001676233527740769,189.1,14.882540105774956,1.0,0.0,3.6,0.66332495807108,0.009444891070433697,0.005498618100598787
LocStab,3 Circles,AF,KM,0.25,0.35,10,0.4202772735261158,0.003339399318956326,0.4153737123011342,0.0017242053240473269,0.006170989968813956,0.0007414736349245286,6.6,1.2,1.0,0.0,3.0,0.0,0.9442708293431064,0.00956270542272043
LocStab,3 Circles,AF,D,0.25,0.35,10,0.4033667733509233,0.004521931641707932,0.2888678822137144,0.0006699893812846358,0.01982406999450177,0.0011217332862365472,153.6,0.4898979485566356,1.0,0.0,4.0,0.0,0.2860850899798385,0.0005605845346227446
LocStab,3 Circles,AE,S,0.25,0.35,10,0.3281759754765369,0.02702011195839726,0.16845232116709083,0.07985965998661165,0.05977330999448895,0.0029279542626651544,294.1,1.9723082923316022,1.0,0.0,8.0,0.6324555320336759,0.0,0.0
LocStab,3 Circles,AE,P,0.25,0.35,10,0.43617817315299157,0.0279953860505027,0.06540963382947144,0.04012233457157554,0.028211040003225208,0.0028667885849319777,218.8,17.13359273474189,1.0,0.0,6.6,0.4898979485566356,0.013651411512316886,0.008778233442611742
LocStab,3 Circles,AE,KM,0.25,0.35,10,0.4448239765803378,0.005698628835103648,0.2863115671354467,0.001233805438848351,0.0056813099887222055,0.0005039390040166218,2.6,1.8000000000000003,1.0,0.0,4.0,0.0,0.9763517318606976,0.020320595183993848
LocStab,3 Circles,AE,D,0.25,0.35,10,0.2897034064561429,0.002863002651175183,0.2645016713265663,0.0008623932539706266,0.01514970000134781,0.0011036250214572889,107.7,0.7810249675906654,1.0,0.0,6.0,0.0,0.5352729730994181,0.0023937772296902084
LocStab,3 Circles,B,S,0.4,0.4,10,0.36214404584754967,0.0,0.45664954377581174,4.6443961262081255e-17,0.05635280999122187,0.003691682654684698,337.3,25.659501164286105,1.0,0.0,2.0,0.0,0.0,0.0
LocStab,3 Circles,B,P,0.4,0.4,10,0.45691977801146777,0.03159191072130601,0.47650440240035713,0.006618286208181769,0.02946310001425445,0.002551579104068267,249.2,21.79816506038983,1.0,0.0,2.0,0.0,-0.0003530296618561498,0.0023091267711051297
LocStab,3 Circles,B,KM,0.4,0.4,10,0.46745041491856976,5.551115123125783e-17,0.4787104978030844,5.551115123125783e-17,0.01611216999590397,0.000672864624912716,101.9,3.3000000000000003,1.0,0.0,2.0,0.0,0.4477215524067849,0.013676850187231781
LocStab,3 Circles,B,D,0.4,0.4,10,0.36214404584754967,0.0,0.45664954377581174,4.6443961262081255e-17,0.031024460005573927,0.0018045060244136657,243.2,0.7483314773547882,1.0,0.0,2.0,0.0,0.18411963800860792,0.00020391419564619851
LocStab,3 Circles,AF,S,0.4,0.4,10,0.17714142086428472,0.07486223971940933,0.151433407364498,0.05139307262550616,0.053380430000834166,0.0034313528973434655,297.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0
LocStab,3 Circles,AF,P,0.4,0.4,10,0.30100065761953954,0.11763570143435473,0.3741770833061036,0.1469433094018228,0.02580259998794645,0.001275215227292497,193.4,12.807810117268293,1.0,0.0,2.2,0.39999999999999997,0.007555827590289934,0.00961607539937504
LocStab,3 Circles,AF,KM,0.4,0.4,10,0.46745041491856976,5.551115123125783e-17,0.4787104978030844,5.551115123125783e-17,0.016391599981579928,0.0011328444785945802,101.9,3.3000000000000003,1.0,0.0,2.0,0.0,0.4477215524067849,0.013676850187231781
LocStab,3 Circles,AF,D,0.4,0.4,10,0.18071676129391537,0.0,0.17895331967305617,2.3221980631040627e-17,0.02780327998334542,0.005202704967446881,213.4,0.4898979485566356,1.0,0.0,3.0,0.0,0.14180021384921032,0.00014803222068544082
LocStab,3 Circles,AE,S,0.4,0.4,10,0.3758246418040251,0.053648372366346904,0.05619730472616795,0.07031114522883039,0.051432689989451316,0.0017744608949036796,295.9,6.624952830020754,1.0,0.0,7.3,0.6403124237432849,0.0,0.0
LocStab,3 Circles,AE,P,0.4,0.4,10,0.4681338383296259,0.05362809065851396,0.09162834557977798,0.09662153575505435,0.02495233000954613,0.0026467085896872294,199.5,23.55525419094432,1.0,0.0,4.6,0.66332495807108,0.04208830510229783,0.018052393516303892
LocStab,3 Circles,AE,KM,0.4,0.4,10,0.42935423681612195,0.0003137448889542871,0.4100925449469036,0.00348459444212419,0.005950409965589642,0.0004135164134804786,3.9,0.3,1.0,0.0,3.0,0.0,0.9620756532243566,0.003627764128970279
LocStab,3 Circles,AE,D,0.4,0.4,10,0.3982838753347879,0.0,0.33304465123921895,5.551115123125783e-17,0.018155449989717454,0.0010879789131079734,133.8,0.9797958971132712,1.0,0.0,4.0,0.0,0.4087165625540095,0.0004355797379411496
