Method,Dataset,Preference,Initialization,Beta Friend,Beta Enemy,Repetitions,Adjusted Rand Index,Adjusted Rand Index SD,Silhouette Score,Silhouette Score SD,Seconds,Seconds SD,Moves,Moves SD,Converged,Converged SD,Final Coalitions,Final Coalitions SD,Initial Adjusted Rand Index,Initial Adjusted Rand Index SD
LocPop,Moons,AF,P,0.4,0.4,10,0.3055016509656431,0.002895896738253334,0.3903732217820387,0.0012121766320375427,0.03840681001311168,0.003920076358849405,267.0,10.658330075579382,1.0,0.0,4.0,0.0,0.0003396481942739565,0.002878896448248895
LocPop,Moons,AF,KM,0.4,0.4,10,0.3064669498783942,0.0,0.3907772806593846,0.0,0.01945151000400074,0.007440508310741205,87.2,2.4,1.0,0.0,4.0,0.0,0.5787134291187066,0.0
LocPop,Moons,AF,D,0.4,0.4,10,0.3064669498783942,0.0,0.3907772806593846,0.0,0.024553609994472935,0.007990654180003913,123.0,0.0,1.0,0.0,4.0,0.0,0.3102430193656577,5.551115123125783e-17
LocPop,Moons,AE,S,0.4,0.4,10,0.3003498794490389,0.0074918506362940465,0.39045876491200265,0.0003901005280634995,0.0821104399918113,0.021461668571533664,358.3,18.973929482318628,1.0,0.0,4.0,0.0,0.0,0.0
LocPop,Moons,AE,P,0.4,0.4,10,0.3034084146637165,0.0061170704293552975,0.3906180227856936,0.0003185157473819533,0.039571520005119966,0.006348374570531429,271.2,18.109665927343883,1.0,0.0,4.0,0.0,0.0008082275940495991,0.0033336428155867326
LocPop,Moons,AE,KM,0.4,0.4,10,0.3064669498783942,0.0,0.3907772806593846,0.0,0.016421310004079714,0.003965284618304366,86.5,1.02469507659596,1.0,0.0,4.0,0.0,0.5787134291187066,0.0
LocPop,Moons,AE,D,0.4,0.4,10,0.3064669498783942,0.0,0.3907772806593846,0.0,0.02092723999521695,0.0035582759686578437,123.0,0.0,1.0,0.0,4.0,0.0,0.3102430193656577,5.551115123125783e-17
KMeans,3 Circles,-,-,,,10,0.44427827189302505,0.001412614165912235,0.40986816970203555,0.0035944331095293346,0.09398066000430845,0.024625825510106048,,,,,,,,
DBSCAN,3 Circles,-,-,,,10,0.18716667220567862,0.0004282094211906041,0.1265458073088476,0.0005786473630675606,0.003913619992090389,0.0007070951140661754,,,,,,,,
LocPop,3 Circles,B,S,0.2,0.2,10,0.2854026205998739,0.001111719450279524,0.27189880054776794,0.017627532322833338,0.08637658999068662,0.007299499891194657,351.2,19.260321908005587,1.0,0.0,8.9,0.3,0.0,0.0
LocPop,3 Circles,B,P,0.2,0.2,10,0.2885023857677855,0.0007789296829763435,0.41536282262460017,0.030228102833280444,0.0392826700117439,0.006833954366786877,292.6,18.298633828786237,1.0,0.0,7.1,0.3,-0.0013110916191886386,0.002739426241125834
LocPop,3 Circles,B,KM,0.2,0.2,10,0.287725215223464,0.0,0.39828850643392244,3.925231146709438e-17,0.023745900008361787,0.003779910661519506,159.0,4.494441010848846,1.0,0.0,7.0,0.0,0.43332771613498544,0.010904855224954794
LocPop,3 Circles,B,D,0.2,0.2,10,0.2862259149432136,0.003720179280640341,0.3438304456045053,0.042171801083510665,0.02839046998997219,0.006841706913438139,158.6,2.009975124224178,1.0,0.0,7.6,0.4898979485566356,0.3423548284294311,0.005189646573451217
LocPop,3 Circles,AF,S,0.2,0.2,10,0.294651570530292,0.009321565486952392,0.3050753784128595,0.01952656244980725,0.07435743000241928,0.019719286043754797,342.8,19.635681806344287,1.0,0.0,8.1,0.3,0.0,0.0
LocPop,3 Circles,AF,P,0.2,0.2,10,0.2908748219350321,0.0023706493675570216,0.41414341904263996,0.03118245494487921,0.043311769998399544,0.006384812293192141,293.7,21.959280498231266,1.0,0.0,7.1,0.3,-0.0015237410600498513,0.0027393327645410135
LocPop,3 Circles,AF,KM,0.2,0.2,10,0.2954331042592361,0.0,0.3107554438643472,4.965068306494546e-17,0.028496739990077912,0.0054738677840923166,168.4,4.363484845854286,1.0,0.0,8.0,0.0,0.43272285839385916,0.010881993573374731
LocPop,3 Circles,AF,D,0.2,0.2,10,0.2898588945400404,0.0,0.30738141335944447,1.7554167342883506e-17,0.028862670005764812,0.0070866661200108365,161.2,1.7776388834631178,1.0,0.0,8.0,0.0,0.3447127352279627,0.0009833686180945843
