,Method,Dataset,Rand Index,Silhouette Score,Davies Bouldin Score,Time,Rand Score with initial clustering,Threshold
33,LP (Balanced) Heuristic starting with the output of dbscan,Cancer,"(0.6811307210574518, 1.1102230246251565e-16)","(0.6964651337508779, 4.965068306494546e-17)","(np.float64(0.48208462856022294), np.float64(4.289112125928498e-16))","(1.161226460011676, 0.07921381833613209)","(np.float64(0.7120597044481299), np.float64(0.0))","(0.2, 0.2)"
34,LP (Friend-Oriented) Heuristic starting with everyone alone,Cancer,"(0.6787234832545359, 1.1102230246251565e-16)","(0.6659551800354526, 7.021666937153402e-17)","(np.float64(0.42432070920941084), np.float64(5.002167713849563e-16))","(32.09340869997395, 1.3778684484821626)",,"(0.2, 0.2)"
35,LP (Friend-Oriented) Heuristic starting with predicted number of clusters,Cancer,"(0.6811307210574518, 1.1102230246251565e-16)","(0.6964651337508779, 7.021666937153402e-17)","(np.float64(0.48208462856022305), np.float64(3.0707251599125423e-16))","(1.2143529399996624, 0.07824125351205546)",,"(0.2, 0.2)"
36,LP (Friend-Oriented) Heuristic starting with the output of k-means,Cancer,"(0.6811307210574518, 1.1102230246251565e-16)","(0.6964651337508779, 7.021666937153402e-17)","(np.float64(0.48208462856022305), np.float64(3.0707251599125423e-16))","(1.1681407400406898, 0.0911321819184576)","(np.float64(0.5635325131810193), np.float64(0.012651855169911096))","(0.2, 0.2)"
37,LP (Friend-Oriented) Heuristic starting with the output of dbscan,Cancer,"(0.6811307210574518, 1.1102230246251565e-16)","(0.6964651337508779, 7.021666937153402e-17)","(np.float64(0.48208462856022305), np.float64(3.0707251599125423e-16))","(1.1635801200056448, 0.08054042075594524)","(np.float64(0.7120597044481299), np.float64(0.0))","(0.2, 0.2)"
38,LP (Enemy-Averse) Heuristic starting with everyone alone,Cancer,"(0.6786616005346666, 1.1102230246251565e-16)","(0.6631966226400527, 1.1102230246251565e-16)","(np.float64(0.3826830356389529), np.float64(1.2301701968027491e-15))","(28.369647449988406, 0.9234047217599786)",,"(0.2, 0.2)"
39,LP (Enemy-Averse) Heuristic starting with predicted number of clusters,Cancer,"(0.6811307210574518, 1.1102230246251565e-16)","(0.6964651337508779, 8.599750569898517e-17)","(np.float64(0.48208462856022305), np.float64(2.9893669801409083e-16))","(1.2165809500031173, 0.07870487834270323)",,"(0.2, 0.2)"
40,LP (Enemy-Averse) Heuristic starting with the output of k-means,Cancer,"(0.6811307210574518, 1.1102230246251565e-16)","(0.6964651337508779, 8.599750569898517e-17)","(np.float64(0.48208462856022305), np.float64(2.9893669801409083e-16))","(1.1572042100131512, 0.06700864529840633)","(np.float64(0.562992895863759), np.float64(0.005437113246565802))","(0.2, 0.2)"
41,LP (Enemy-Averse) Heuristic starting with the output of dbscan,Cancer,"(0.6811307210574518, 1.1102230246251565e-16)","(0.6964651337508779, 8.599750569898517e-17)","(np.float64(0.48208462856022305), np.float64(2.9893669801409083e-16))","(1.1525073700002395, 0.07454117381424567)","(np.float64(0.7120597044481299), np.float64(0.0))","(0.2, 0.2)"
42,kmeans,Iris,"(0.8589351230425055, 0.04643561083894621)","(0.5480919418190473, 0.009853410928625555)","(np.float64(0.698402392277733), np.float64(0.09845458402211396))","(0.00230201001977548, 9.914710716476863e-05)",,"(0.2, 0.2)"
43,dbscan,Iris,"(0.4245190156599553, 5.551115123125783e-17)","(0.18256428323870064, 2.911029329172731e-17)","(np.float64(0.627599582254017), np.float64(1.8038988979531736e-15))","(0.001558909984305501, 0.00018562023217820597)",,"(0.2, 0.2)"
44,LP (Balanced) Heuristic starting with everyone alone,Iris,"(0.7967069351230427, 0.004868008948545865)","(0.4405247623777429, 0.0007385415495564873)","(np.float64(0.6978985985357317), np.float64(0.006644507921524024))","(0.5702898500137963, 0.03885481009458877)",,"(0.2, 0.2)"
45,LP (Balanced) Heuristic starting with predicted number of clusters,Iris,"(0.7987382550335569, 0.028251863128306434)","(0.5063530005117902, 0.016602300464036084)","(np.float64(1.7518375722425834), np.float64(0.5832094067285466))","(0.08790082996711135, 0.005063787414721176)",,"(0.2, 0.2)"
46,LP (Balanced) Heuristic starting with the output of k-means,Iris,"(0.8797315436241611, 0.0)","(0.549517512647162, 0.0)","(np.float64(0.6692465823103244), np.float64(1.9181492553389518e-15))","(0.10263460001442581, 0.004485329389458297)","(np.float64(0.54868903803132), np.float64(0.011985587589514428))","(0.2, 0.2)"
47,LP (Balanced) Heuristic starting with the output of dbscan,Iris,"(0.8797315436241611, 0.0)","(0.549517512647162, 0.0)","(np.float64(0.6692465823103244), np.float64(1.9181492553389518e-15))","(0.10135214003967122, 0.004567715273939806)","(np.float64(0.407069351230425), np.float64(0.0043716188138670465))","(0.2, 0.2)"
48,LP (Friend-Oriented) Heuristic starting with everyone alone,Iris,"(0.7942729306487697, 1.1102230246251565e-16)","(0.440894033152521, 1.2412670766236366e-16)","(np.float64(0.6945763445749695), np.float64(2.7113091967771407e-15))","(0.5379981499980204, 0.030993925672740286)",,"(0.2, 0.2)"
49,LP (Friend-Oriented) Heuristic starting with predicted number of clusters,Iris,"(0.8142550335570469, 0.043209433201991256)","(0.5134754418399434, 0.024210220324179427)","(np.float64(1.647858731302021), np.float64(0.7073872550508138))","(0.09031443996354938, 0.006640324579320396)",,"(0.2, 0.2)"
50,LP (Friend-Oriented) Heuristic starting with the output of k-means,Iris,"(0.8701118568232664, 0.02885906040268457)","(0.544104037623305, 0.016240425071570915)","(np.float64(0.8236837037305593), np.float64(0.4633113642607025))","(0.10313452000264078, 0.004389339166216452)","(np.float64(0.5454228187919463), np.float64(0.013243875083108874))","(0.2, 0.2)"
51,LP (Friend-Oriented) Heuristic starting with the output of dbscan,Iris,"(0.8797315436241611, 0.0)","(0.549517512647162, 0.0)","(np.float64(0.669246582310325), np.float64(2.3650617023838378e-15))","(0.10208771001780406, 0.005014856782917496)","(np.float64(0.4046890380313199), np.float64(0.0045641443886417984))","(0.2, 0.2)"
52,LP (Enemy-Averse) Heuristic starting with everyone alone,Iris,"(0.795096196868009, 0.002469798657718114)","(0.4367328215294976, 0.012483634869070549)","(np.float64(0.7140328595576981), np.float64(0.058369544948186684))","(0.5325110700214282, 0.02285897295527081)",,"(0.2, 0.2)"
53,LP (Enemy-Averse) Heuristic starting with predicted number of clusters,Iris,"(0.8153914988814316, 0.043500242745513125)","(0.5098723631349236, 0.026934152719178556)","(np.float64(1.7762129213064302), np.float64(0.8412083295662474))","(0.08890708998078481, 0.006525014614413646)",,"(0.2, 0.2)"
54,LP (Enemy-Averse) Heuristic starting with the output of k-means,Iris,"(0.8797315436241611, 0.0)","(0.549517512647162, 3.510833468576701e-17)","(np.float64(0.6692465823103224), np.float64(1.2789268091525769e-15))","(0.09930939000332728, 0.005343284234203865)","(np.float64(0.5472393736017896), np.float64(0.01192268735237094))","(0.2, 0.2)"
55,LP (Enemy-Averse) Heuristic starting with the output of dbscan,Iris,"(0.8797315436241611, 0.0)","(0.549517512647162, 3.510833468576701e-17)","(np.float64(0.6692465823103223), np.float64(1.288528496563948e-15))","(0.10219610001659021, 0.0066636390411016645)","(np.float64(0.4053870246085012), np.float64(0.004654241847890549))","(0.2, 0.2)"
