Method,Dataset,Preference,Initialization,Beta Friend,Beta Enemy,Repetition,Adjusted Rand Index,Silhouette Score,Seconds,Moves,Converged,Final Coalitions,Initial Adjusted Rand Index
LocPop,3 Circles,AF,KM,0.25,0.35,1,0.4173209984670855,0.2878143628984399,0.020410099998116493,8.0,1.0,4.0,0.9360218641229835
LocPop,3 Circles,AF,D,0.25,0.35,1,0.4171069276537409,0.28881208261549174,0.029283299983944744,160.0,1.0,4.0,0.27971707944252167
LocPop,3 Circles,AE,S,0.25,0.35,1,0.4255115220339167,0.28869523634101696,0.07783500000368804,321.0,1.0,4.0,0.0
LocPop,3 Circles,AE,P,0.25,0.35,1,0.4255115220339167,0.28869523634101696,0.030068900028709322,240.0,1.0,4.0,0.0038956516251411524
LocPop,3 Circles,AE,KM,0.25,0.35,1,0.42430898484829066,0.289110220600377,0.007236699981149286,6.0,1.0,4.0,0.9548413465442873
LocPop,3 Circles,AE,D,0.25,0.35,1,0.4255115220339167,0.28869523634101696,0.022755600046366453,161.0,1.0,4.0,0.273446199220105
LocPop,3 Circles,B,S,0.4,0.4,1,0.36214404584754967,0.4566495437758118,0.08748829999240115,319.0,1.0,2.0,0.0
LocPop,3 Circles,B,P,0.4,0.4,1,0.4674504149185697,0.47871049780308433,0.03298780001932755,258.0,1.0,2.0,0.003153689443115008
LocPop,3 Circles,B,KM,0.4,0.4,1,0.4674504149185697,0.47871049780308433,0.024975100008305162,103.0,1.0,2.0,0.44316260234437427
LocPop,3 Circles,B,D,0.4,0.4,1,0.36214404584754967,0.4566495437758118,0.0402110000140965,242.0,1.0,2.0,0.18428613325215568
LocPop,3 Circles,AF,S,0.4,0.4,1,0.3656794962335714,0.4565120707353438,0.07529449998401105,318.0,1.0,2.0,0.0
LocPop,3 Circles,AF,P,0.4,0.4,1,0.4674504149185697,0.47871049780308433,0.04095449997112155,258.0,1.0,2.0,0.003153689443115008
LocPop,3 Circles,AF,KM,0.4,0.4,1,0.4674504149185697,0.47871049780308433,0.024585500010289252,103.0,1.0,2.0,0.44316260234437427
LocPop,3 Circles,AF,D,0.4,0.4,1,0.3656794962335714,0.4565120707353438,0.04269409994594753,242.0,1.0,2.0,0.18826445918514362
LocPop,3 Circles,AE,S,0.4,0.4,1,0.36214404584754967,0.4566495437758118,0.0623757999856025,317.0,1.0,2.0,0.0
LocPop,3 Circles,AE,P,0.4,0.4,1,0.4674504149185697,0.47871049780308433,0.0378093000035733,255.0,1.0,2.0,0.003153689443115008
LocPop,3 Circles,AE,KM,0.4,0.4,1,0.4674504149185697,0.47871049780308433,0.019557499967049807,103.0,1.0,2.0,0.44316260234437427
LocPop,3 Circles,AE,D,0.4,0.4,1,0.36214404584754967,0.4566495437758118,0.033562099968548864,242.0,1.0,2.0,0.18428613325215568
KMeans,3 Circles,-,-,,,2,0.44004042939528837,0.4206514690306235,0.1320193000137806,,,,
DBSCAN,3 Circles,-,-,,,2,0.18664222491319388,0.12725450269910887,0.0032337000011466444,,,,
LocPop,3 Circles,B,S,0.2,0.2,2,0.2850615735362706,0.2665460303281927,0.08131169999251142,339.0,1.0,9.0,0.0
LocPop,3 Circles,B,P,0.2,0.2,2,0.2888443463577557,0.42632864282771027,0.04286180000053719,282.0,1.0,7.0,-0.00014239641921505816
LocPop,3 Circles,B,KM,0.2,0.2,2,0.287725215223464,0.39828850643392244,0.020824700011871755,146.0,1.0,7.0,0.4660422818098498
LocPop,3 Circles,B,D,0.2,0.2,2,0.28948251315489837,0.30951724115840873,0.02051269996445626,160.0,1.0,8.0,0.34519116991451415
LocPop,3 Circles,AF,S,0.2,0.2,2,0.2954331042592361,0.31075544386434717,0.059853000042494386,335.0,1.0,8.0,0.0
LocPop,3 Circles,AF,P,0.2,0.2,2,0.2880792236190825,0.4257776878069933,0.03875710000284016,274.0,1.0,7.0,0.00013342010811682946
LocPop,3 Circles,AF,KM,0.2,0.2,2,0.2954331042592361,0.31075544386434717,0.02468659996520728,156.0,1.0,8.0,0.46536883911398336
LocPop,3 Circles,AF,D,0.2,0.2,2,0.2898588945400404,0.30738141335944447,0.024509300012141466,161.0,1.0,8.0,0.3435083595562639
LocPop,3 Circles,AE,S,0.2,0.2,2,0.28500067974330107,0.2709814397163784,0.07787520001875237,334.0,1.0,9.0,0.0
LocPop,3 Circles,AE,P,0.2,0.2,2,0.287691645572861,0.42490421200570727,0.04767050000373274,286.0,1.0,7.0,0.00040225472111082817
LocPop,3 Circles,AE,KM,0.2,0.2,2,0.2766653981758935,0.3992449391549743,0.023692900023888797,145.0,1.0,7.0,0.4391499240137233
LocPop,3 Circles,AE,D,0.2,0.2,2,0.28644861068924266,0.26333139843619024,0.023674900003243238,162.0,1.0,9.0,0.3451789454923125
LocPop,3 Circles,B,S,0.25,0.35,2,0.4150338819655981,0.28948886336267493,0.06455690000439063,332.0,1.0,4.0,0.0
LocPop,3 Circles,B,P,0.25,0.35,2,0.4150338819655981,0.28948886336267493,0.028619299991987646,224.0,1.0,4.0,0.0013096252705239763
LocPop,3 Circles,B,KM,0.25,0.35,2,0.42430898484829066,0.28911022060037705,0.007983300019986928,9.0,1.0,4.0,0.9073303495246537
LocPop,3 Circles,B,D,0.25,0.35,2,0.4171069276537409,0.28881208261549174,0.025884200003929436,158.0,1.0,4.0,0.27894114278861326
LocPop,3 Circles,AF,S,0.25,0.35,2,0.41505136419263683,0.2865104394287029,0.07287440000800416,328.0,1.0,4.0,0.0
LocPop,3 Circles,AF,P,0.25,0.35,2,0.41505136419263683,0.2865104394287029,0.03308279998600483,223.0,1.0,4.0,0.00023851949316894874
